('Gross Profit', '17,962,502.00', '17,962,502.00', '14,007,929.00', '12,447,265.00', '12,365,161.00')
         817663 function calls (793369 primitive calls) in 2.355 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      242    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
    70/50    0.000    0.000    0.000    0.000 typing.py:1773(__hash__)
      297    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
        1    0.000    0.000    0.007    0.007 ssl.py:1(<module>)
      194    0.000    0.000    0.000    0.000 _parser.py:76(__init__)
      371    0.000    0.000    0.000    0.000 typing.py:1427(<genexpr>)
        1    0.000    0.000    0.237    0.237 sessions.py:1(<module>)
       52    0.000    0.000    0.000    0.000 ipaddress.py:1930(__init__)
       66    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
        3    0.000    0.000    0.000    0.000 {built-in method winreg.QueryValueEx}
        3    0.000    0.000    0.053    0.018 exceptions.py:1(<module>)
    38/29    0.000    0.000    0.009    0.000 css_parser.py:732(parse_pseudo_open)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1512(__init__)
        3    0.000    0.000    0.019    0.006 response.py:1(<module>)
       38    0.000    0.000    0.000    0.000 functools.py:544(decorating_function)
      462    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
       56    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
